termo,traducao,categoria
basisOfRecord,baseDoRegistro,record
modified,modificado,record
datasetName,nomeDoConjuntoDeDados,record
type,tipo,record
language,idioma,record
institutionID,IDdaInstituição,record
institutionCode,códigoDaInstituição,record
collectionCode,códigoDaColeção,record
license,licença,record
rightsHolder,titularDosDireitos,record
dynamicProperties,propriedadesDinâmicas,record
occurrenceID,IDOcorrência,occurrence
catalogNumber,númeroDeCatálogo,occurrence
otherCatalogNumbers,outrosNúmerosDeCatálogo,occurrence
recordedBy,registradoPor,occurrence
recordNumber,númeroDeRegistro,occurrence
individualCount,númeroDeIndivíduos,occurrence
sex,sexo,occurrence
lifeStage,etapaDeVida,occurrence
reproductiveCondition,condiçãoReprodutiva,occurrence
preparations,preparacões,occurrence
disposition,disposição,occurrence
associatedTaxa,táxonsAssociados,occurrence
associatedReferences,referênciasAssociadas,occurrence
associatedMedia,mídiaAssociada,occurrence
associatedSequences,sequênciasAssociadas,occurrence
occurrenceRemarks,comentáriosDaOcorrência,occurrence
eventDate,dataDoEvento,event
eventTime,horaDoEvento,event
habitat,hábitat,event
samplingProtocol,protocoloDeAmostragem,event
samplingEffort,esforçoDeAmostragem,event
eventRemarks,comentáriosDoEvento,event
continent,continente,locality
country,país,locality
countryCode,códigoDoPaís,locality
stateProvince,estado,locality
county,município,locality
municipality,distrito,locality
island,ilha,locality
islandGroup,grupoDeIlhas,locality
waterBody,corpoDeÁgua,locality
locality,localidade,locality
locationRemarks,comentáriosDaLocalização,locality
minimumElevationInMeters,elevaçãoMínimaEmMetros,locality
maximumElevationInMeters,elevaçãoMáximaEmMetros,locality
minimumDepthInMeters ,profundidadeMínimaEmMetros,locality
maximumDepthInMeters,profundidadeMáximaEmMetros,locality
verbatimLatitude,latitudeOriginal,locality
verbatimLongitude,longitudeOriginal,locality
decimalLatitude,latitudeDecimal,locality
decimalLongitude,longitudeDecimal,locality
coordinateUncertaintyInMeters,incertezadasCoordenadasEmMetros,locality
geodeticDatum,datumGeodésico,locality
georeferenceProtocol,protocoloDeGeorreferenciamento,locality
georeferencedBy,georreferenciadoPor,locality
georeferencedDate,dataDoGeorreferenciamento,locality
georeferenceRemarks,comentáriosDoGeorreferenciamento,locality
kingdom,reino,taxon
phylum,filo,taxon
class,classe,taxon
order,ordem,taxon
family,família,taxon
genus,gênero,taxon
specificEpithet,epítetoEspecífico,taxon
infraspecificEpithet,epítetoInfraespecífico,taxon
scientificName,nomeCientífico,taxon
scientificNameAuthorship ,AutoriaDoNomeCientífico,taxon
taxonRank,nívelTaxonômico,taxon
vernacularName,nomeComum,taxon
taxonRemarks,comentáriosDoTáxon,taxon
identificationQualifier,qualificadorDaIdentificação,identification
typeStatus,condiçãoDoTipo,identification
identifiedBy,identificadoPor,identification
dateIdentified,dataDeIdentificação,identification
identificationRemarks,comentáriosDaIdentificação,identification
